-------------------------------
angle,output,Kp,Ki,Kd
0.01,-0.45,0.0,0.4,0.68
0.02,-0.27,0.0,0.4,0.67
0.01,-0.28,0.0,0.4,0.7
-0.0,-0.04,0.0,0.4,0.67
0.01,-0.45,0.0,0.4,0.68
0.02,-0.27,0.0,0.4,0.67
0.43,-0.77,0.0,0.4,1.94
0.41,-0.33,0.0,0.4,0.0
0.14,1.57,0.0,0.4,0.36
0.15,-0.4,0.0,0.4,0.37
0.15,-0.35,0.0,0.4,0.4
0.21,-0.81,0.0,0.4,0.43
0.3,-1.18,0.0,0.4,0.46
0.39,-2.86,4.37,0.4,0.47
0.52,-3.91,4.33,0.4,0.47
0.62,-3.96,4.25,0.4,0.47
0.72,-4.81,4.76,0.4,0.48
0.78,-4.95,5.13,0.4,0.48
0.77,-4.3,5.12,0.4,0.48
0.5,-0.33,5.13,0.4,0.48
0.32,-0.21,4.67,0.4,0.48
-0.01,2.79,4.85,0.4,0.48
-0.11,0.88,5.0,0.4,0.39
-0.19,0.97,4.03,0.4,0.38
-0.18,0.2,4.08,0.4,0.38
-0.18,0.29,4.0,0.4,0.38
-0.18,0.31,4.08,0.4,0.38
-0.16,0.02,3.99,0.4,0.38
-0.15,0.1,4.04,0.4,0.38
-0.12,-0.06,4.06,0.4,0.38
-0.11,-0.12,4.03,0.4,0.38
-0.1,-0.09,4.16,0.4,0.38
-0.08,-0.52,0.0,0.4,0.38
-0.06,-0.55,0.0,0.4,0.38
-0.05,-0.2,4.48,0.4,0.38
-0.06,-0.23,3.08,0.4,0.38
-0.06,-0.2,3.41,0.39,0.38
-0.03,-0.58,0.0,0.4,0.38
-0.02,-0.47,0.0,0.4,0.38
-0.0,-0.55,0.0,0.4,0.37
-0.01,-0.36,0.0,0.4,0.37
0.19,-1.89,0.0,0.4,0.38
0.47,-2.54,0.0,0.4,0.37
0.01,3.08,0.0,0.4,0.38
-0.67,4.79,0.0,0.4,0.38
-1.54,6.28,0.0,0.4,0.38
-1.39,-1.51,0.0,0.4,0.38
-1.37,-0.48,0.0,0.4,0.38
-1.23,3.63,4.03,0.4,0.38
-1.1,4.27,5.01,0.4,0.38
-1.0,4.03,5.06,0.4,0.37
-0.9,3.55,5.05,0.4,0.38
-0.98,0.45,0.0,0.4,0.38
-0.89,3.52,5.03,0.4,0.38
-0.77,2.63,4.73,0.4,0.38
-0.57,1.17,4.99,0.4,0.38
-0.61,3.25,5.13,0.4,0.37
-0.49,-1.05,0.0,0.4,0.38
-0.35,-1.22,0.0,0.4,0.38
-0.1,-2.05,0.0,0.4,0.38
0.14,-1.95,0.0,0.4,0.38
0.16,-1.14,5.13,0.4,0.38
0.17,-1.0,5.13,0.4,0.37
0.18,-1.16,5.13,0.4,0.38
0.17,-0.91,5.13,0.4,0.38
0.17,-1.02,5.13,0.4,0.38
0.17,-1.1,5.14,0.4,0.38
0.17,-1.06,5.15,0.4,0.38
0.16,-0.84,5.16,0.4,0.37
0.13,-0.63,5.16,0.4,0.38
0.1,-0.52,5.15,0.4,0.38
0.07,-0.28,5.16,0.4,0.38
-0.23,3.31,5.15,0.4,0.38
-0.4,3.14,5.15,0.4,0.38
-0.35,1.31,5.15,0.4,0.38
-0.27,0.61,5.16,0.41,0.38
0.68,-10.71,5.16,0.4,0.37
0.63,-3.04,5.15,0.4,0.38
0.56,-2.48,5.15,0.4,0.38
0.5,-2.35,5.14,0.4,0.37
0.46,-2.29,5.14,0.4,0.38
0.42,-2.07,5.13,0.4,0.38
0.4,-2.08,5.16,0.39,0.37
0.36,-1.98,5.76,0.4,0.38
0.33,-2.15,6.55,0.4,0.38
0.28,-1.84,6.87,0.39,0.38
0.25,-1.7,6.88,0.4,0.38
0.21,-1.35,6.88,0.4,0.38
0.19,-1.37,6.88,0.4,0.38
0.18,-1.43,6.88,0.4,0.38
0.15,-1.04,6.73,0.4,0.38
0.15,-1.24,6.88,0.4,0.38
